Evento,TimeStamp
on2,0.00
on2,0.02
on2,0.05
on2,0.07
on2,0.10
on1,0.12
on2,0.15
on2,0.16
on2,0.20
on2,0.21
on2,0.23
on2,0.26
on2,0.27
on1,0.31
on2,0.32
on1,0.36
on2,0.37
on2,0.40
on2,0.42
on2,0.45
on2,0.47
on2,0.48
on2,0.51
on2,0.53
on1,0.57
on2,0.58
on1,0.61
on2,0.62
on1,0.66
on2,0.67
on1,0.71
on2,0.72
on2,0.74
on2,0.76
on1,0.77
on2,0.78
on1,0.82
on2,0.83
on1,0.87
on2,0.88
on1,0.92
on2,0.93
on1,0.96
on1,0.98
on2,1.01
on1,1.03
on2,1.06
on1,1.08
on2,1.09
on2,1.11
on1,1.12
on2,1.13
on1,1.17
on2,1.18
on1,1.22
on1,1.24
on2,1.27
on1,1.28
on2,1.32
on1,1.33
on2,1.36
on1,1.38
on2,1.41
on2,1.43
on2,1.46
on2,1.48
on1,1.49
on2,1.52
on1,1.54
on2,1.57
on1,1.59
on2,1.62
on1,1.63
on2,1.67
on2,1.68
on2,1.70
on2,1.72
on2,1.73
on2,1.75
on2,1.78
on2,1.79
on2,1.83
on1,1.84
on2,1.87
on2,1.89
on2,1.92
on2,1.94
on2,1.95
on2,1.99
on2,2.00
on1,2.04
on2,2.05
on1,2.09
on2,2.10
on1,2.13
on2,2.14
on2,2.16
on2,2.18
on2,2.19
on2,2.21
on2,2.22
on1,2.24
on2,2.26
on1,2.29
on2,2.30
on1,2.34
on2,2.35
on1,2.39
on2,2.40
on1,2.44
on1,2.45
on2,2.46
on1,2.48
on1,2.50
on2,2.51
on1,2.55
on2,2.56
on1,2.60
on2,2.61
on1,2.64
on2,2.65
on1,2.69
on2,2.70
on2,2.74
on1,2.75
on2,2.79
on1,2.80
on2,2.84
on1,2.85
on2,2.86
on2,2.88
on1,2.90
on1,2.91
on1,2.95
on1,2.96
on2,2.99
on1,3.01
on2,3.04
on1,3.06
on2,3.09
on1,3.11
on2,3.12
on2,3.14
on1,3.15
on2,3.17
on2,3.19
on1,3.20
on1,3.22
on2,3.23
on1,3.25
on1,3.26
on2,3.30
on1,3.31
on2,3.35
on1,3.36
on2,3.38
on2,3.39
on1,3.41
off,3.41
on2,3.42
on2,3.44
on1,3.46
off,3.46
on2,3.47
on2,3.49
on1,3.51
on2,3.52
on1,3.54
on2,3.55
on2,3.57
on2,3.58
on2,3.60
on1,3.62
off,3.62
on2,3.63
on2,3.65
on1,3.66
off,3.67
on2,3.68
on2,3.70
on1,3.71
off,3.72
on2,3.73
on2,3.74
on1,3.76
on2,3.77
on2,3.79
on1,3.81
on1,3.83
on1,3.84
on1,3.86
on1,3.87
on2,3.88
on2,3.90
on1,3.92
on2,3.93
on2,3.95
on1,3.97
off,3.97
on2,3.98
on2,4.00
on1,4.01
