Timestamp,Dado
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298003"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298007"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298010"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298014"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298018"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298022"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298025"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298029"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298033"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298036"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298040"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298044"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298047"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298051"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298055"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298059"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298062"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298066"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298070"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298073"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298077"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298081"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298084"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298088"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298092"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298095"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298099"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298103"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298107"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298110"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298114"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298118"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298121"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298125"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298129"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298132"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298136"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298140"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298144"
2025-04-09 15:25:23,"1.81,0.26,0.90,-0.02 - 298147"
