pa,fp,fr,fnl,tempo,delta_p
1.81,0.26,0.9,-0.02,298003,
1.81,0.26,0.9,-0.02,298007,0.0
1.81,0.26,0.9,-0.02,298010,0.0
1.81,0.26,0.9,-0.02,298014,0.0
1.81,0.26,0.9,-0.02,298018,0.0
1.81,0.26,0.9,-0.02,298022,0.0
1.81,0.26,0.9,-0.02,298025,0.0
1.81,0.26,0.9,-0.02,298029,0.0
1.81,0.26,0.9,-0.02,298033,0.0
1.81,0.26,0.9,-0.02,298036,0.0
1.81,0.26,0.9,-0.02,298040,0.0
1.81,0.26,0.9,-0.02,298044,0.0
1.81,0.26,0.9,-0.02,298047,0.0
1.81,0.26,0.9,-0.02,298051,0.0
1.81,0.26,0.9,-0.02,298055,0.0
1.81,0.26,0.9,-0.02,298059,0.0
1.81,0.26,0.9,-0.02,298062,0.0
1.81,0.26,0.9,-0.02,298066,0.0
1.81,0.26,0.9,-0.02,298070,0.0
1.81,0.26,0.9,-0.02,298073,0.0
1.81,0.26,0.9,-0.02,298077,0.0
1.81,0.26,0.9,-0.02,298081,0.0
1.81,0.26,0.9,-0.02,298084,0.0
1.81,0.26,0.9,-0.02,298088,0.0
1.81,0.26,0.9,-0.02,298092,0.0
1.81,0.26,0.9,-0.02,298095,0.0
1.81,0.26,0.9,-0.02,298099,0.0
1.81,0.26,0.9,-0.02,298103,0.0
1.81,0.26,0.9,-0.02,298107,0.0
1.81,0.26,0.9,-0.02,298110,0.0
1.81,0.26,0.9,-0.02,298114,0.0
1.81,0.26,0.9,-0.02,298118,0.0
1.81,0.26,0.9,-0.02,298121,0.0
1.81,0.26,0.9,-0.02,298125,0.0
1.81,0.26,0.9,-0.02,298129,0.0
1.81,0.26,0.9,-0.02,298132,0.0
1.81,0.26,0.9,-0.02,298136,0.0
1.81,0.26,0.9,-0.02,298140,0.0
1.81,0.26,0.9,-0.02,298144,0.0
1.81,0.26,0.9,-0.02,298147,0.0
1.81,0.26,0.9,-0.02,298151,0.0
1.81,0.26,0.9,-0.02,298155,0.0
1.81,0.26,0.9,-0.02,298158,0.0
1.81,0.26,0.9,-0.02,298162,0.0
1.81,0.26,0.9,-0.02,298166,0.0
1.81,0.26,0.9,-0.02,298169,0.0
1.81,0.26,0.9,-0.02,298173,0.0
1.81,0.26,0.9,-0.02,298177,0.0
1.8,0.26,0.9,-0.02,298180,-0.010000000000000009
1.8,0.26,0.9,-0.02,298184,0.0
1.8,0.26,0.9,-0.02,298188,0.0
1.8,0.26,0.9,-0.02,298192,0.0
1.8,0.26,0.9,-0.02,298195,0.0
1.8,0.26,0.9,-0.02,298199,0.0
1.8,0.26,0.9,-0.02,298203,0.0
1.8,0.26,0.9,-0.02,298206,0.0
1.8,0.26,0.9,-0.02,298210,0.0
1.8,0.26,0.9,-0.02,298214,0.0
1.8,0.26,0.9,-0.02,298217,0.0
1.8,0.26,0.9,-0.02,298221,0.0
1.8,0.26,0.9,-0.02,298225,0.0
1.8,0.26,0.9,-0.02,298228,0.0
1.8,0.26,0.9,-0.02,298232,0.0
1.81,0.26,0.9,-0.02,298236,0.010000000000000009
1.81,0.26,0.9,-0.02,298240,0.0
1.81,0.26,0.9,-0.02,298243,0.0
1.81,0.26,0.9,-0.02,298247,0.0
1.81,0.26,0.9,-0.02,298251,0.0
1.81,0.26,0.9,-0.02,298254,0.0
1.81,0.26,0.9,-0.02,298258,0.0
1.81,0.26,0.9,-0.02,298262,0.0
1.81,0.26,0.9,-0.02,298265,0.0
1.81,0.26,0.9,-0.02,298269,0.0
1.81,0.26,0.9,-0.02,298273,0.0
1.81,0.26,0.9,-0.02,298277,0.0
1.81,0.26,0.9,-0.02,298280,0.0
1.81,0.26,0.9,-0.02,298284,0.0
1.81,0.26,0.9,-0.02,298288,0.0
1.81,0.26,0.9,-0.02,298291,0.0
1.81,0.26,0.9,-0.02,298295,0.0
1.81,0.26,0.9,-0.02,298299,0.0
1.81,0.26,0.9,-0.02,298302,0.0
1.81,0.26,0.9,-0.02,298306,0.0
1.81,0.26,0.9,-0.02,298310,0.0
1.81,0.26,0.9,-0.02,298314,0.0
1.81,0.26,0.9,-0.02,298317,0.0
1.81,0.26,0.9,-0.02,298321,0.0
1.81,0.26,0.9,-0.02,298325,0.0
1.81,0.26,0.9,-0.02,298328,0.0
1.81,0.26,0.9,-0.02,298332,0.0
1.81,0.26,0.9,-0.02,298336,0.0
1.81,0.26,0.9,-0.02,298339,0.0
1.81,0.26,0.9,-0.02,298343,0.0
1.81,0.26,0.9,-0.02,298347,0.0
1.81,0.26,0.9,-0.02,298350,0.0
1.81,0.26,0.9,-0.02,298354,0.0
1.81,0.26,0.9,-0.02,298358,0.0
1.81,0.26,0.9,-0.02,298362,0.0
1.81,0.26,0.9,-0.02,298365,0.0
1.81,0.26,0.9,-0.02,298369,0.0
1.81,0.26,0.9,-0.02,298373,0.0
1.81,0.26,0.9,-0.02,298376,0.0
1.81,0.26,0.9,-0.02,298380,0.0
1.81,0.26,0.9,-0.02,298384,0.0
1.81,0.26,0.9,-0.02,298387,0.0
1.81,0.26,0.9,-0.02,298391,0.0
1.81,0.26,0.9,-0.02,298395,0.0
1.81,0.26,0.9,-0.02,298399,0.0
1.81,0.26,0.9,-0.02,298402,0.0
1.81,0.26,0.9,-0.02,298406,0.0
1.81,0.26,0.9,-0.02,298410,0.0
1.81,0.26,0.9,-0.02,298413,0.0
1.81,0.26,0.9,-0.02,298417,0.0
1.81,0.26,0.9,-0.02,298421,0.0
1.8,0.26,0.9,-0.02,298424,-0.010000000000000009
1.8,0.26,0.9,-0.02,298428,0.0
1.8,0.26,0.9,-0.02,298432,0.0
1.8,0.26,0.9,-0.02,298435,0.0
1.8,0.26,0.9,-0.02,298439,0.0
1.8,0.26,0.9,-0.02,298443,0.0
1.8,0.26,0.9,-0.02,298447,0.0
1.8,0.26,0.9,-0.02,298450,0.0
1.8,0.26,0.9,-0.02,298454,0.0
1.8,0.26,0.9,-0.02,298458,0.0
1.8,0.26,0.9,-0.02,298461,0.0
1.8,0.26,0.9,-0.02,298465,0.0
1.8,0.26,0.9,-0.02,298469,0.0
1.8,0.26,0.9,-0.02,298472,0.0
1.81,0.26,0.9,-0.02,298476,0.010000000000000009
1.81,0.26,0.9,-0.02,298480,0.0
1.81,0.26,0.9,-0.02,298484,0.0
1.81,0.26,0.9,-0.02,298487,0.0
1.81,0.26,0.9,-0.02,298491,0.0
1.81,0.26,0.9,-0.02,298495,0.0
1.81,0.26,0.9,-0.02,298498,0.0
1.81,0.26,0.9,-0.02,298502,0.0
1.81,0.26,0.9,-0.02,298506,0.0
1.81,0.26,0.9,-0.02,298509,0.0
1.81,0.26,0.9,-0.02,298513,0.0
1.81,0.26,0.9,-0.02,298517,0.0
1.81,0.26,0.9,-0.02,298520,0.0
1.81,0.26,0.9,-0.02,298524,0.0
1.81,0.26,0.9,-0.02,298528,0.0
1.8,0.26,0.9,-0.02,298532,-0.010000000000000009
1.8,0.26,0.9,-0.02,298535,0.0
1.8,0.26,0.9,-0.02,298539,0.0
1.8,0.26,0.9,-0.02,298543,0.0
1.8,0.26,0.9,-0.02,298546,0.0
1.8,0.26,0.9,-0.02,298550,0.0
1.8,0.26,0.9,-0.02,298554,0.0
1.8,0.26,0.9,-0.02,298557,0.0
1.8,0.26,0.9,-0.02,298561,0.0
1.8,0.26,0.9,-0.02,298565,0.0
1.8,0.26,0.9,-0.02,298569,0.0
1.8,0.26,0.9,-0.02,298572,0.0
1.8,0.26,0.9,-0.02,298576,0.0
1.8,0.26,0.9,-0.02,298580,0.0
1.8,0.26,0.9,-0.02,298583,0.0
1.8,0.26,0.9,-0.02,298587,0.0
1.8,0.26,0.9,-0.02,298591,0.0
1.8,0.26,0.9,-0.02,298594,0.0
1.8,0.26,0.9,-0.02,298598,0.0
1.8,0.26,0.9,-0.02,298602,0.0
1.8,0.26,0.9,-0.02,298605,0.0
1.8,0.26,0.9,-0.02,298609,0.0
1.8,0.26,0.9,-0.02,298613,0.0
1.8,0.26,0.9,-0.02,298617,0.0
1.8,0.26,0.9,-0.02,298620,0.0
1.8,0.26,0.9,-0.02,298624,0.0
1.8,0.26,0.9,-0.02,298628,0.0
1.8,0.26,0.9,-0.02,298631,0.0
1.8,0.26,0.9,-0.02,298635,0.0
1.8,0.26,0.9,-0.02,298639,0.0
1.8,0.26,0.9,-0.02,298642,0.0
1.8,0.26,0.9,-0.02,298646,0.0
1.8,0.26,0.9,-0.02,298650,0.0
1.8,0.26,0.9,-0.02,298653,0.0
1.8,0.26,0.9,-0.02,298657,0.0
1.8,0.26,0.9,-0.02,298661,0.0
1.8,0.26,0.9,-0.02,298665,0.0
1.8,0.26,0.9,-0.02,298668,0.0
1.8,0.26,0.9,-0.02,298672,0.0
1.8,0.26,0.9,-0.02,298676,0.0
1.81,0.26,0.9,-0.02,298679,0.010000000000000009
1.81,0.26,0.9,-0.02,298683,0.0
1.81,0.26,0.9,-0.02,298687,0.0
1.81,0.26,0.9,-0.02,298690,0.0
1.81,0.26,0.9,-0.02,298694,0.0
1.81,0.26,0.9,-0.02,298698,0.0
1.81,0.26,0.9,-0.02,298702,0.0
1.81,0.26,0.9,-0.02,298705,0.0
1.81,0.26,0.9,-0.02,298709,0.0
1.81,0.26,0.9,-0.02,298713,0.0
1.81,0.26,0.9,-0.02,298716,0.0
1.81,0.26,0.9,-0.02,298720,0.0
1.81,0.26,0.9,-0.02,298724,0.0
1.81,0.26,0.9,-0.02,298727,0.0
1.81,0.26,0.9,-0.02,298731,0.0
1.81,0.26,0.9,-0.02,298735,0.0
1.81,0.26,0.9,-0.02,298738,0.0
1.81,0.26,0.9,-0.02,298742,0.0
1.81,0.26,0.9,-0.02,298746,0.0
1.81,0.26,0.9,-0.02,298750,0.0
1.81,0.26,0.9,-0.02,298753,0.0
1.81,0.26,0.9,-0.02,298757,0.0
1.81,0.26,0.9,-0.02,298761,0.0
1.81,0.26,0.9,-0.02,298764,0.0
1.81,0.26,0.9,-0.02,298768,0.0
1.81,0.26,0.9,-0.02,298772,0.0
1.81,0.26,0.9,-0.02,298775,0.0
1.81,0.26,0.9,-0.02,298779,0.0
1.81,0.26,0.9,-0.02,298783,0.0
1.81,0.26,0.9,-0.02,298787,0.0
1.81,0.26,0.9,-0.02,298790,0.0
1.81,0.26,0.9,-0.02,298794,0.0
1.81,0.26,0.9,-0.02,298798,0.0
1.81,0.26,0.9,-0.02,298801,0.0
1.81,0.26,0.9,-0.02,298805,0.0
1.81,0.26,0.9,-0.02,298809,0.0
1.81,0.26,0.9,-0.02,298812,0.0
1.81,0.26,0.9,-0.02,298816,0.0
1.81,0.26,0.9,-0.02,298820,0.0
1.81,0.26,0.9,-0.02,298823,0.0
1.81,0.26,0.9,-0.02,298827,0.0
1.81,0.26,0.9,-0.02,298831,0.0
1.81,0.26,0.9,-0.02,298835,0.0
1.81,0.26,0.9,-0.02,298838,0.0
1.81,0.26,0.9,-0.02,298842,0.0
1.81,0.26,0.9,-0.02,298846,0.0
1.81,0.26,0.9,-0.02,298849,0.0
1.81,0.26,0.9,-0.02,298853,0.0
1.81,0.26,0.9,-0.02,298857,0.0
1.81,0.26,0.9,-0.02,298860,0.0
1.81,0.26,0.9,-0.02,298864,0.0
1.81,0.26,0.9,-0.02,298868,0.0
1.81,0.26,0.9,-0.02,298872,0.0
1.81,0.26,0.9,-0.02,298875,0.0
1.81,0.26,0.9,-0.02,298879,0.0
1.81,0.26,0.9,-0.02,298883,0.0
1.81,0.26,0.9,-0.02,298886,0.0
1.81,0.26,0.9,-0.02,298890,0.0
1.81,0.26,0.9,-0.02,298894,0.0
1.81,0.26,0.9,-0.02,298897,0.0
1.81,0.26,0.9,-0.02,298901,0.0
1.81,0.26,0.9,-0.02,298905,0.0
1.81,0.26,0.9,-0.02,298909,0.0
1.81,0.26,0.9,-0.02,298912,0.0
1.81,0.26,0.9,-0.02,298916,0.0
1.81,0.26,0.9,-0.02,298920,0.0
1.81,0.26,0.9,-0.02,298923,0.0
1.81,0.26,0.9,-0.02,298927,0.0
1.81,0.26,0.9,-0.02,298931,0.0
1.81,0.26,0.9,-0.02,298934,0.0
1.81,0.26,0.9,-0.02,298938,0.0
1.81,0.26,0.9,-0.02,298942,0.0
1.81,0.26,0.9,-0.02,298945,0.0
1.81,0.26,0.9,-0.02,298949,0.0
1.81,0.26,0.9,-0.02,298953,0.0
1.81,0.26,0.9,-0.02,298957,0.0
1.81,0.26,0.9,-0.02,298960,0.0
1.81,0.26,0.9,-0.02,298964,0.0
1.81,0.26,0.9,-0.02,298968,0.0
1.81,0.26,0.9,-0.02,298971,0.0
1.81,0.26,0.9,-0.02,298975,0.0
1.81,0.26,0.9,-0.02,298979,0.0
1.81,0.26,0.9,-0.02,298982,0.0
1.81,0.26,0.9,-0.02,298986,0.0
1.81,0.26,0.9,-0.02,298990,0.0
1.81,0.26,0.9,-0.02,298994,0.0
1.81,0.26,0.9,-0.02,298997,0.0
1.81,0.26,0.9,-0.02,299001,0.0
1.81,0.26,0.9,-0.02,299005,0.0
1.81,0.26,0.9,-0.02,299008,0.0
1.81,0.26,0.9,-0.02,299012,0.0
1.81,0.26,0.9,-0.02,299016,0.0
1.81,0.26,0.9,-0.02,299019,0.0
1.81,0.26,0.9,-0.02,299023,0.0
1.8,0.26,0.9,-0.02,299027,-0.010000000000000009
1.8,0.26,0.9,-0.02,299030,0.0
1.8,0.26,0.9,-0.02,299034,0.0
1.8,0.26,0.9,-0.02,299038,0.0
1.8,0.26,0.9,-0.02,299042,0.0
1.8,0.26,0.9,-0.02,299045,0.0
1.8,0.26,0.9,-0.02,299049,0.0
1.8,0.26,0.9,-0.02,299053,0.0
1.8,0.26,0.9,-0.02,299056,0.0
1.8,0.26,0.9,-0.02,299060,0.0
1.8,0.26,0.9,-0.02,299064,0.0
1.8,0.26,0.9,-0.02,299067,0.0
1.8,0.26,0.9,-0.02,299071,0.0
1.8,0.26,0.9,-0.02,299075,0.0
1.8,0.26,0.9,-0.02,299078,0.0
1.8,0.26,0.9,-0.02,299082,0.0
