Tempo,Pot. Ativa,FP,FR,FNL
908.484,1.83,0.25,0.91,-0.03
908.488,1.83,0.25,0.91,-0.03
908.492,1.83,0.25,0.91,-0.03
908.495,1.83,0.25,0.91,-0.03
908.499,1.83,0.25,0.91,-0.03
908.503,1.83,0.25,0.91,-0.03
908.506,1.82,0.25,0.91,-0.03
908.51,1.82,0.25,0.91,-0.03
908.514,1.82,0.25,0.91,-0.03
908.518,1.82,0.25,0.91,-0.03
908.521,1.82,0.25,0.91,-0.03
908.525,1.82,0.25,0.91,-0.03
908.529,1.82,0.25,0.91,-0.03
908.532,1.82,0.25,0.91,-0.03
908.536,1.82,0.25,0.91,-0.03
908.54,1.82,0.25,0.91,-0.03
908.543,1.82,0.25,0.91,-0.03
908.547,1.82,0.25,0.91,-0.03
908.551,1.82,0.25,0.91,-0.03
908.554,1.82,0.25,0.91,-0.03
908.558,1.82,0.25,0.91,-0.03
908.562,1.82,0.25,0.91,-0.03
908.566,1.82,0.25,0.91,-0.03
908.569,1.82,0.25,0.91,-0.03
908.573,1.82,0.25,0.91,-0.03
908.577,1.82,0.25,0.91,-0.03
908.58,1.82,0.25,0.91,-0.03
908.584,1.82,0.25,0.91,-0.03
908.588,1.82,0.25,0.91,-0.03
908.591,1.82,0.25,0.91,-0.03
908.595,1.82,0.25,0.91,-0.03
908.599,1.82,0.25,0.91,-0.03
908.603,1.82,0.25,0.91,-0.03
908.606,1.82,0.25,0.91,-0.03
908.61,1.82,0.25,0.91,-0.03
908.614,1.82,0.25,0.91,-0.03
908.617,1.82,0.25,0.91,-0.03
908.621,1.82,0.25,0.91,-0.03
908.625,1.82,0.25,0.91,-0.03
908.628,1.82,0.25,0.91,-0.03
908.632,1.82,0.25,0.91,-0.03
908.636,1.82,0.25,0.91,-0.03
908.64,1.82,0.25,0.91,-0.03
908.643,1.82,0.25,0.91,-0.03
908.647,1.82,0.25,0.91,-0.03
908.651,1.82,0.25,0.91,-0.03
908.654,1.82,0.25,0.91,-0.03
908.658,1.82,0.25,0.91,-0.03
908.662,1.82,0.25,0.91,-0.03
908.665,1.82,0.25,0.91,-0.03
908.669,1.82,0.25,0.91,-0.03
908.673,1.82,0.25,0.91,-0.03
908.676,1.82,0.25,0.91,-0.03
908.68,1.82,0.25,0.91,-0.03
908.684,1.82,0.25,0.91,-0.03
908.688,1.82,0.25,0.91,-0.03
908.691,1.82,0.25,0.91,-0.03
908.695,1.82,0.25,0.91,-0.03
908.699,1.82,0.25,0.91,-0.03
908.702,1.82,0.25,0.91,-0.03
908.706,1.82,0.25,0.91,-0.03
908.71,1.82,0.25,0.91,-0.03
908.713,1.82,0.25,0.91,-0.03
908.717,1.82,0.25,0.91,-0.03
908.721,1.82,0.25,0.91,-0.03
908.725,1.82,0.25,0.91,-0.03
908.728,1.82,0.25,0.91,-0.03
908.732,1.82,0.25,0.91,-0.03
908.736,1.82,0.25,0.91,-0.03
908.739,1.82,0.25,0.91,-0.03
908.743,1.82,0.25,0.91,-0.03
908.747,1.82,0.25,0.91,-0.03
908.75,1.82,0.25,0.91,-0.03
908.754,1.82,0.25,0.91,-0.03
908.758,1.82,0.25,0.91,-0.03
908.761,1.82,0.25,0.91,-0.03
908.765,1.82,0.25,0.91,-0.03
908.769,1.82,0.25,0.91,-0.03
908.773,1.82,0.25,0.91,-0.03
908.776,1.82,0.25,0.91,-0.03
908.78,1.82,0.25,0.91,-0.03
908.784,1.82,0.25,0.91,-0.03
908.787,1.82,0.25,0.91,-0.03
908.791,1.82,0.25,0.91,-0.03
908.795,1.82,0.25,0.91,-0.03
908.798,1.82,0.25,0.91,-0.03
908.802,1.82,0.25,0.91,-0.03
908.806,1.82,0.25,0.91,-0.03
908.81,1.82,0.25,0.91,-0.03
908.813,1.82,0.25,0.91,-0.03
908.817,1.82,0.25,0.91,-0.03
908.821,1.82,0.25,0.91,-0.03
908.824,1.82,0.25,0.91,-0.03
908.828,1.82,0.25,0.91,-0.03
908.832,1.82,0.25,0.91,-0.03
908.835,1.82,0.25,0.91,-0.03
908.839,1.82,0.25,0.91,-0.03
908.843,1.82,0.25,0.91,-0.03
908.846,1.82,0.24,0.91,-0.03
908.85,1.82,0.24,0.91,-0.03
908.854,1.82,0.24,0.91,-0.03
908.858,1.82,0.24,0.91,-0.03
908.861,1.82,0.24,0.91,-0.03
908.865,1.82,0.24,0.91,-0.03
908.869,1.82,0.24,0.91,-0.03
908.872,1.82,0.24,0.91,-0.03
908.876,1.82,0.24,0.91,-0.03
908.88,1.82,0.25,0.91,-0.03
908.883,1.82,0.24,0.91,-0.03
908.887,1.82,0.25,0.91,-0.03
908.891,1.82,0.25,0.91,-0.03
908.895,1.82,0.25,0.91,-0.03
908.898,1.82,0.25,0.91,-0.03
908.902,1.82,0.25,0.91,-0.03
908.906,1.82,0.25,0.91,-0.03
908.909,1.82,0.24,0.91,-0.03
908.913,1.82,0.24,0.91,-0.03
908.917,1.82,0.24,0.91,-0.03
908.92,1.82,0.24,0.91,-0.03
908.924,1.82,0.24,0.91,-0.03
908.928,1.82,0.24,0.91,-0.03
908.931,1.82,0.24,0.91,-0.03
908.935,1.82,0.24,0.91,-0.03
908.939,1.82,0.24,0.91,-0.03
908.943,1.82,0.24,0.91,-0.03
908.946,1.82,0.24,0.91,-0.03
908.95,1.82,0.24,0.91,-0.03
908.954,1.82,0.24,0.91,-0.03
908.957,1.82,0.24,0.91,-0.03
908.961,1.82,0.25,0.91,-0.03
908.965,1.82,0.25,0.91,-0.03
908.968,1.82,0.25,0.91,-0.03
908.972,1.82,0.25,0.91,-0.03
908.976,1.82,0.25,0.91,-0.03
908.98,1.82,0.25,0.91,-0.03
908.983,1.82,0.25,0.91,-0.03
908.987,1.82,0.25,0.91,-0.03
908.991,1.82,0.25,0.91,-0.03
908.994,1.82,0.25,0.91,-0.03
908.998,1.82,0.25,0.91,-0.03
909.002,1.82,0.25,0.91,-0.03
909.005,1.82,0.25,0.91,-0.03
909.009,1.82,0.25,0.91,-0.03
909.013,1.82,0.25,0.91,-0.03
909.016,1.82,0.25,0.91,-0.03
909.02,1.82,0.25,0.91,-0.03
909.024,1.82,0.25,0.91,-0.03
909.028,1.82,0.25,0.91,-0.03
909.031,1.82,0.25,0.91,-0.03
909.035,1.82,0.25,0.91,-0.03
909.039,1.82,0.25,0.91,-0.03
909.042,1.82,0.25,0.91,-0.03
909.046,1.82,0.25,0.91,-0.03
909.05,1.82,0.25,0.91,-0.03
909.053,1.82,0.25,0.91,-0.03
909.057,1.82,0.25,0.91,-0.03
909.061,1.82,0.25,0.91,-0.03
909.065,1.82,0.25,0.91,-0.03
909.068,1.82,0.25,0.91,-0.03
909.072,1.82,0.25,0.91,-0.03
909.076,1.82,0.25,0.91,-0.03
909.079,1.82,0.25,0.91,-0.03
909.083,1.82,0.25,0.91,-0.03
909.087,1.82,0.25,0.91,-0.03
909.09,1.82,0.25,0.91,-0.03
