Tempo,Pot. Ativa,FP,FR,FNL
430.685,1.85,0.25,0.91,-0.03
430.688,1.85,0.25,0.91,-0.03
430.692,1.85,0.25,0.91,-0.03
430.696,1.85,0.25,0.91,-0.03
430.7,1.85,0.25,0.91,-0.03
430.703,1.85,0.25,0.91,-0.03
430.707,1.85,0.25,0.91,-0.03
430.711,1.85,0.25,0.91,-0.03
430.714,1.85,0.25,0.91,-0.03
430.718,1.85,0.25,0.91,-0.03
430.722,1.86,0.25,0.91,-0.03
430.725,1.86,0.25,0.91,-0.03
430.729,1.86,0.25,0.91,-0.03
430.733,1.86,0.25,0.91,-0.03
430.737,1.86,0.25,0.91,-0.03
430.74,1.86,0.25,0.91,-0.03
430.744,1.86,0.25,0.91,-0.03
430.748,1.86,0.25,0.91,-0.03
430.751,1.86,0.25,0.91,-0.03
430.755,1.86,0.25,0.91,-0.03
430.759,1.86,0.25,0.91,-0.03
430.762,1.86,0.25,0.91,-0.03
430.766,1.86,0.25,0.91,-0.03
430.77,1.86,0.25,0.91,-0.03
430.773,1.86,0.25,0.91,-0.03
430.777,1.86,0.25,0.91,-0.03
430.781,1.86,0.25,0.91,-0.03
430.785,1.86,0.25,0.91,-0.03
430.788,1.86,0.25,0.91,-0.03
430.792,1.86,0.25,0.91,-0.03
430.796,1.86,0.25,0.91,-0.03
430.799,1.86,0.25,0.91,-0.03
430.803,1.86,0.25,0.91,-0.03
430.807,1.86,0.25,0.91,-0.03
430.81,1.86,0.25,0.91,-0.03
430.814,1.86,0.25,0.91,-0.03
430.818,1.86,0.25,0.91,-0.03
430.822,1.85,0.25,0.91,-0.03
430.825,1.85,0.25,0.91,-0.03
430.829,1.85,0.25,0.91,-0.03
430.833,1.85,0.25,0.91,-0.03
430.836,1.85,0.25,0.91,-0.03
430.84,1.85,0.25,0.91,-0.03
430.844,1.85,0.25,0.91,-0.03
430.847,1.85,0.25,0.91,-0.03
430.851,1.85,0.25,0.91,-0.03
430.855,1.85,0.25,0.91,-0.03
430.858,1.85,0.25,0.91,-0.03
430.862,1.85,0.25,0.91,-0.03
430.866,1.85,0.25,0.91,-0.03
430.87,1.85,0.25,0.91,-0.03
430.873,1.85,0.25,0.91,-0.03
430.877,1.85,0.25,0.91,-0.03
430.881,1.85,0.25,0.91,-0.03
430.884,1.85,0.25,0.91,-0.03
430.888,1.85,0.25,0.91,-0.03
430.892,1.85,0.25,0.91,-0.03
430.895,1.85,0.25,0.91,-0.03
430.899,1.85,0.25,0.91,-0.03
430.903,1.85,0.25,0.91,-0.03
430.907,1.85,0.25,0.91,-0.03
430.91,1.85,0.25,0.91,-0.03
430.914,1.85,0.25,0.91,-0.03
430.918,1.85,0.25,0.91,-0.03
430.921,1.85,0.25,0.91,-0.03
430.925,1.85,0.25,0.91,-0.03
430.929,1.85,0.25,0.91,-0.03
430.932,1.85,0.25,0.91,-0.03
430.936,1.85,0.25,0.91,-0.03
430.94,1.85,0.25,0.91,-0.03
430.943,1.85,0.25,0.91,-0.03
430.947,1.85,0.25,0.91,-0.03
430.951,1.85,0.25,0.91,-0.03
